2024-05-23 22:20:51 eoracle-data-validator  | Starting data-validator 
2024-05-23 22:21:04 eoracle-data-validator  | <1> 2024-05-23T16:51:04.389Z warn: coinbase: krw not supported
2024-05-23 22:21:04 eoracle-data-validator  | <1> 2024-05-23T16:51:04.409Z warn: coinbase: brl not supported
2024-05-23 22:21:12 eoracle-data-validator  | <1> 2024-05-23T16:51:12.580Z error: provider ethereum is closed. cannot send ping, provider state=undefined
2024-05-23 22:21:12 eoracle-data-validator  | <1> 2024-05-23T16:51:12.581Z info: restarting ethereum feed
2024-05-23 22:21:12 eoracle-data-validator  | <1> 2024-05-23T16:51:12.581Z info: stopping ethereum feed
2024-05-23 22:21:12 eoracle-data-validator  | <1> 2024-05-23T16:51:12.583Z info: Feed ethereum stopped
2024-05-23 22:21:12 eoracle-data-validator  | <1> 2024-05-23T16:51:12.862Z info: Starting ethereum feed
2024-05-23 22:21:12 eoracle-data-validator  | <1> 2024-05-23T16:51:12.864Z warn: pingInterval Timer already exists for ethereum when trying to start it
2024-05-23 22:21:12 eoracle-data-validator  | <1> 2024-05-23T16:51:12.864Z info: Finished initializing ethereum feed
2024-05-23 22:21:12 eoracle-data-validator  | JsonRpcProvider failed to detect network and cannot start up; retry in 1s (perhaps the URL is wrong or the node is not started)
2024-05-23 22:21:12 eoracle-data-validator  | <1> 2024-05-23T16:51:12.949Z error: cannot connect to ethereum, endpoint https://some.ethereum.rpc returned error Error: failed to bootstrap network detection (event="initial-network-discovery", info={ "error": { "code": "ENOTFOUND", "errno": -3008, "hostname": "some.ethereum.rpc", "syscall": "getaddrinfo" } }, code=NETWORK_ERROR, version=6.12.1)
2024-05-23 22:21:12 eoracle-data-validator  | <1> 2024-05-23T16:51:12.949Z info: restarting ethereum feed
2024-05-23 22:21:12 eoracle-data-validator  | <1> 2024-05-23T16:51:12.949Z info: stopping ethereum feed
2024-05-23 22:21:12 eoracle-data-validator  | <1> 2024-05-23T16:51:12.950Z info: Feed ethereum stopped
2024-05-23 22:21:12 eoracle-data-validator  | <1> 2024-05-23T16:51:12.959Z info: starting kraken feed
2024-05-23 22:21:13 eoracle-data-validator  | <1> 2024-05-23T16:51:13.041Z error: cannot connect to kraken, endpoint wss://ws.kraken.com returned error Error: Client network socket disconnected before secure TLS connection was established
2024-05-23 22:21:13 eoracle-data-validator  | <1> 2024-05-23T16:51:13.041Z info: restarting kraken feed
2024-05-23 22:21:13 eoracle-data-validator  | <1> 2024-05-23T16:51:13.042Z info: stopping kraken feed
2024-05-23 22:21:13 eoracle-data-validator  | <1> 2024-05-23T16:51:13.042Z info: Feed kraken stopped
2024-05-23 22:21:22 eoracle-data-validator  | <1> 2024-05-23T16:51:22.588Z error: provider ethereum is closed. cannot send ping, provider state=undefined
2024-05-23 22:21:22 eoracle-data-validator  | <1> 2024-05-23T16:51:22.589Z info: restarting ethereum feed
2024-05-23 22:21:22 eoracle-data-validator  | <1> 2024-05-23T16:51:22.589Z info: stopping ethereum feed
2024-05-23 22:21:22 eoracle-data-validator  | <1> 2024-05-23T16:51:22.589Z info: Feed ethereum stopped
2024-05-23 22:21:22 eoracle-data-validator  | <1> 2024-05-23T16:51:22.591Z info: Starting ethereum feed
2024-05-23 22:21:22 eoracle-data-validator  | <1> 2024-05-23T16:51:22.592Z warn: pingInterval Timer already exists for ethereum when trying to start it
2024-05-23 22:21:22 eoracle-data-validator  | <1> 2024-05-23T16:51:22.592Z info: Finished initializing ethereum feed
2024-05-23 22:21:22 eoracle-data-validator  | JsonRpcProvider failed to detect network and cannot start up; retry in 1s (perhaps the URL is wrong or the node is not started)
2024-05-23 22:21:22 eoracle-data-validator  | <1> 2024-05-23T16:51:22.652Z error: cannot connect to ethereum, endpoint https://some.ethereum.rpc returned error Error: failed to bootstrap network detection (event="initial-network-discovery", info={ "error": { "code": "ENOTFOUND", "errno": -3008, "hostname": "some.ethereum.rpc", "syscall": "getaddrinfo" } }, code=NETWORK_ERROR, version=6.12.1)
2024-05-23 22:21:22 eoracle-data-validator  | <1> 2024-05-23T16:51:22.653Z info: restarting ethereum feed
2024-05-23 22:21:22 eoracle-data-validator  | <1> 2024-05-23T16:51:22.653Z info: stopping ethereum feed
2024-05-23 22:21:22 eoracle-data-validator  | <1> 2024-05-23T16:51:22.653Z info: Feed ethereum stopped
2024-05-23 22:21:22 eoracle-data-validator  | <1> 2024-05-23T16:51:22.960Z info: Starting ethereum feed
2024-05-23 22:21:22 eoracle-data-validator  | <1> 2024-05-23T16:51:22.960Z warn: pingInterval Timer already exists for ethereum when trying to start it
2024-05-23 22:21:22 eoracle-data-validator  | <1> 2024-05-23T16:51:22.960Z info: Finished initializing ethereum feed
2024-05-23 22:21:22 eoracle-data-validator  | JsonRpcProvider failed to detect network and cannot start up; retry in 1s (perhaps the URL is wrong or the node is not started)
2024-05-23 22:21:23 eoracle-data-validator  | <1> 2024-05-23T16:51:23.001Z error: cannot connect to ethereum, endpoint https://some.ethereum.rpc returned error Error: failed to bootstrap network detection (event="initial-network-discovery", info={ "error": { "code": "ENOTFOUND", "errno": -3008, "hostname": "some.ethereum.rpc", "syscall": "getaddrinfo" } }, code=NETWORK_ERROR, version=6.12.1)
2024-05-23 22:21:23 eoracle-data-validator  | <1> 2024-05-23T16:51:23.002Z info: restarting ethereum feed
2024-05-23 22:21:23 eoracle-data-validator  | <1> 2024-05-23T16:51:23.002Z info: stopping ethereum feed
2024-05-23 22:21:23 eoracle-data-validator  | <1> 2024-05-23T16:51:23.004Z info: Feed ethereum stopped
2024-05-23 22:21:23 eoracle-data-validator  | <1> 2024-05-23T16:51:23.054Z info: starting kraken feed
2024-05-23 22:21:23 eoracle-data-validator  | <1> 2024-05-23T16:51:23.113Z error: cannot connect to kraken, endpoint wss://ws.kraken.com returned error Error: Client network socket disconnected before secure TLS connection was established
2024-05-23 22:21:23 eoracle-data-validator  | <1> 2024-05-23T16:51:23.114Z info: restarting kraken feed
2024-05-23 22:21:23 eoracle-data-validator  | <1> 2024-05-23T16:51:23.114Z info: stopping kraken feed
2024-05-23 22:21:23 eoracle-data-validator  | <1> 2024-05-23T16:51:23.114Z info: Feed kraken stopped
2024-05-23 22:21:31 eoracle-data-validator  | <1> 2024-05-23T16:51:31.002Z info: loaded alias encrypted wallet from /app/.keystore/ecdsaAliasedEncryptedWallet.json
2024-05-23 22:21:32 eoracle-data-validator  | <1> 2024-05-23T16:51:32.589Z error: provider ethereum is closed. cannot send ping, provider state=undefined
2024-05-23 22:21:32 eoracle-data-validator  | <1> 2024-05-23T16:51:32.590Z info: restarting ethereum feed
2024-05-23 22:21:32 eoracle-data-validator  | <1> 2024-05-23T16:51:32.590Z info: stopping ethereum feed
2024-05-23 22:21:32 eoracle-data-validator  | <1> 2024-05-23T16:51:32.591Z info: Feed ethereum stopped
2024-05-23 22:21:32 eoracle-data-validator  | <1> 2024-05-23T16:51:32.592Z info: Starting ethereum feed
2024-05-23 22:21:32 eoracle-data-validator  | <1> 2024-05-23T16:51:32.592Z warn: pingInterval Timer already exists for ethereum when trying to start it
2024-05-23 22:21:32 eoracle-data-validator  | <1> 2024-05-23T16:51:32.592Z info: Finished initializing ethereum feed
2024-05-23 22:21:32 eoracle-data-validator  | JsonRpcProvider failed to detect network and cannot start up; retry in 1s (perhaps the URL is wrong or the node is not started)
2024-05-23 22:21:32 eoracle-data-validator  | <1> 2024-05-23T16:51:32.627Z error: cannot connect to ethereum, endpoint https://some.ethereum.rpc returned error Error: failed to bootstrap network detection (event="initial-network-discovery", info={ "error": { "code": "ENOTFOUND", "errno": -3008, "hostname": "some.ethereum.rpc", "syscall": "getaddrinfo" } }, code=NETWORK_ERROR, version=6.12.1)
2024-05-23 22:21:32 eoracle-data-validator  | <1> 2024-05-23T16:51:32.627Z info: restarting ethereum feed
